source_id,rel_path,disciplina_raiz,tipo_fonte,paginas,chars
09_Erisipela_e_linfedema__89cace7b3b,EISA II - Ensino Integrado em Saúde do Adulto II\ANGIOLOGIA \09 - Erisipela e linfedema.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,ESCANEADA,13,0
15_PA_DiabA_tico__4ce9f782de,EISA II - Ensino Integrado em Saúde do Adulto II\ANGIOLOGIA \15 - PÃ©️-DiabÃ©️tico.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,NATIVA,19,29208
1_Bronquiolite__a456a0d201,EISCA - Ensino Integrado em Saúde da Criança e Adolescente\Resumos\1-Bronquiolite.pdf,EISCA - Ensino Integrado em Saúde da Criança e Adolescente,NATIVA,2,7271
1_Depressa_o__fc3aafa4e4,EISM - Ensino Integrado em Saúde Mental\Slides Aulas\Slides Primeira Prova \1. Depressão.pdf,EISM - Ensino Integrado em Saúde Mental,MISTA,33,6816
1_DiagnA_stico_das_sA_ndromes_nefrolA_gicas__542c6a898f,EISA II - Ensino Integrado em Saúde do Adulto II\NEFROLOGIA\Resumos\1-DiagnÃ³stico das sÃ_ndromes nefrolÃ³gicas.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,NATIVA,3,8904
1_Farmacoterapia_para_Diabetes_Mellitus__caa50aba48,EISA II - Ensino Integrado em Saúde do Adulto II\ENDOCRINOLOGIA\Resumos\1-Farmacoterapia para Diabetes Mellitus.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,NATIVA,8,20408
1_LitA_ase_urinA_ria__aaca8de431,EISA II - Ensino Integrado em Saúde do Adulto II\UROLOGIA\Resumos\1-LitÃ_ase urinÃ¡ria.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,NATIVA,3,11589
1_Osteossarcoma__da1747531d,EISCA - Ensino Integrado em Saúde da Criança e Adolescente\Resumos\1-Osteossarcoma.pdf,EISCA - Ensino Integrado em Saúde da Criança e Adolescente,NATIVA,2,6989
2021_2_Doenc_as_das_Paratireoides_e_Osteoporose__532c60e94d,EISA II - Ensino Integrado em Saúde do Adulto II\ENDOCRINOLOGIA\Slides Aulas\Slides Primeira Prova \2021.2_Doenças das Paratireoides e Osteoporose.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,MISTA,96,19035
2025_1_Diabetes_metas_e_tto_n_o_insul_nico__083a9449f2,EISA II - Ensino Integrado em Saúde do Adulto II\ENDOCRINOLOGIA\Slides Aulas\Slides Primeira Prova \2025.1_Diabetes_metas e tto não insulínico.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,ESCANEADA,100,10912
2025_1_HIPOPITUITARISMO__1f445bfa8d,EISA II - Ensino Integrado em Saúde do Adulto II\ENDOCRINOLOGIA\Slides Aulas\Slides Quarta Prova\2025.1_HIPOPITUITARISMO.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,MISTA,64,10701
2025_1_Hiperaldosteronismo_prim_rio_e_feocromocitoma__d986fd0620,EISA II - Ensino Integrado em Saúde do Adulto II\ENDOCRINOLOGIA\Slides Aulas\Slides Quarta Prova\2025.1_Hiperaldosteronismo primário e feocromocitoma.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,MISTA,121,34563
2_AssistA_ncia_ao_recA_m_nascido_na_sala_de_parto__dfb24bd2f9,EISCA - Ensino Integrado em Saúde da Criança e Adolescente\Resumos\2-AssistÃªncia ao recÃ©️m nascido na sala de parto.pdf,EISCA - Ensino Integrado em Saúde da Criança e Adolescente,NATIVA,4,11589
2_Avaliac_a_o_Casos_Cli_nicos_TURMA_B_2021_1__7bf703af15,CASOS CLÍNICOS\Provas antigas \2ª Avaliação_ Casos Clínicos - TURMA B - 2021.1.pdf,CASOS CLÍNICOS,NATIVA,8,11404
2_Exames_de_imagem_na_Nefrologia__d17a2c74cb,EISA II - Ensino Integrado em Saúde do Adulto II\NEFROLOGIA\Resumos\2-Exames de imagem na Nefrologia.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,NATIVA,3,5609
2_Transtornos_Mentais_na_Gravidez_e_No_Puerpe_rio__0efe14a107,EISM - Ensino Integrado em Saúde Mental\Slides Aulas\Slides Primeira Prova \2. Transtornos Mentais na Gravidez e No Puerpério.pdf,EISM - Ensino Integrado em Saúde Mental,ESCANEADA,24,1824
3_Cefaleias__8e6ef3de3b,EISA II - Ensino Integrado em Saúde do Adulto II\NEUROLOGIA\Resumos\3-Cefaleias.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,NATIVA,4,13609
3_DiagnA_stico_laboratorial_em_nefrologia_1___356124c454,EISA II - Ensino Integrado em Saúde do Adulto II\NEFROLOGIA\Resumos\3-DiagnÃ³stico laboratorial em nefrologia (1).pdf,EISA II - Ensino Integrado em Saúde do Adulto II,NATIVA,4,13656
3_DiagnA_stico_laboratorial_em_nefrologia__5f2f478f29,EISA II - Ensino Integrado em Saúde do Adulto II\NEFROLOGIA\Resumos\3-DiagnÃ³stico laboratorial em nefrologia.pdf,EISA II - Ensino Integrado em Saúde do Adulto II,NATIVA,4,13656
4_Emerge_ncias_Psiquia_tricas__705566fda7,EISM - Ensino Integrado em Saúde Mental\Slides Aulas\Slides Primeira Prova \4. Emergências Psiquiátricas.pdf,EISM - Ensino Integrado em Saúde Mental,ESCANEADA,50,3278
4_Trauma_Urogenital___2ef81514cc,EISA II - Ensino Integrado em Saúde do Adulto II\UROLOGIA\Slides Aulas \Slides Primeira Prova \4. Trauma Urogenital .pdf,EISA II - Ensino Integrado em Saúde do Adulto II,ESCANEADA,40,4107
9_Transtornos_alimentares__cd91c009ec,EISM - Ensino Integrado em Saúde Mental\Resumos\9-Transtornos alimentares.pdf,EISM - Ensino Integrado em Saúde Mental,NATIVA,3,10038
ANOTAC_O_ES_IST__a05a9c13fa,Resumos das Unidades \SAÚDE DO ADULTO II\II UNIDADE\UROLOGIA\ANOTAÇÕES - IST.pdf,Resumos das Unidades ,NATIVA,6,12707
ANOTAC_O_ES_TCE__acecbecc79,Resumos das Unidades \SAÚDE DO ADULTO II\III UNIDADE\Neurologia\ANOTAÇÕES - TCE.pdf,Resumos das Unidades ,NATIVA,10,16432
ANOTAC_O_ES_TOC__61f6501286,Resumos das Unidades \SAÚDE MENTAL\III UNIDADE\ANOTAÇÕES - TOC.pdf,Resumos das Unidades ,NATIVA,5,9773
ANOTAC_O_ES_aleitamento_materno_III_unidade__e207af597b,Resumos das Unidades \SAÚDE DA CRIANÇA E ADOLESCENTE\III UNIDADE\Neonato\ANOTAÇÕES - aleitamento materno - III unidade.pdf,Resumos das Unidades ,NATIVA,7,13081
ANOTAC_O_ES_ansioli_ticos__c32028b863,Resumos das Unidades \SAÚDE MENTAL\II UNIDADE\FARMACOLOGIA\ANOTAÇÕES - ansiolíticos.pdf,Resumos das Unidades ,NATIVA,5,10681
