rank,capsule_id,capsule_path,discipline,risk,tier_A_unresolved,tier_A_total,claims_already_registered
1,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,capsules/EISCA/diarreia_aguda_desidratacao_planos_reidratacao.md,EISCA,high,54,54,0
2,capsule:eisa_ii:nefropatia_diabetica,capsules/EISA_II/nefropatia_diabetica.md,EISA_II,high,42,42,0
3,capsule:eisca:sepse_e_meningite_neonatal,capsules/EISCA/sepse_e_meningite_neonatal.md,EISCA,high,40,40,0
4,capsule:osce:osce_neurologia,capsules/OSCE/osce_neurologia.md,OSCE,high,39,39,0
5,capsule:osce:osce_urologia,capsules/OSCE/osce_urologia.md,OSCE,high,37,37,0
6,capsule:eisa_ii:diabetes_metas_tratamento_terapia_nao_insulinica,capsules/EISA_II/diabetes_metas_tratamento_terapia_nao_insulinica.md,EISA_II,high,35,35,0
7,capsule:osce:osce_pediatria,capsules/OSCE/osce_pediatria.md,OSCE,high,33,33,0
8,capsule:eisa_ii:cancer_de_prostata,capsules/EISA_II/cancer_de_prostata.md,EISA_II,medium,32,32,0
9,capsule:eisa_ii:farmacoterapia_diabetes_i_nao_secretagogos,capsules/EISA_II/farmacoterapia_diabetes_i_nao_secretagogos.md,EISA_II,high,32,32,0
10,capsule:eisa_ii:insulinoterapia_no_dm1_e_dm2,capsules/EISA_II/insulinoterapia_no_dm1_e_dm2.md,EISA_II,high,31,31,0
11,capsule:eisca:atopias_na_infancia,capsules/EISCA/atopias_na_infancia.md,EISCA,high,31,31,0
12,capsule:eisa_ii:hiperplasia_prostatica_benigna_clinica_e_tratamento,capsules/EISA_II/hiperplasia_prostatica_benigna_clinica_e_tratamento.md,EISA_II,high,30,30,0
13,capsule:eisa_ii:farmacologia_dislipidemias,capsules/EISA_II/farmacologia_dislipidemias.md,EISA_II,high,29,29,0
14,capsule:eisa_ii:diabetes_complicacoes_agudas_cronicas,capsules/EISA_II/diabetes_complicacoes_agudas_cronicas.md,EISA_II,high,28,28,0
15,capsule:eisca:meningites_na_crianca,capsules/EISCA/meningites_na_crianca.md,EISCA,high,28,28,0
16,capsule:eisa_ii:hipotireoidismo,capsules/EISA_II/hipotireoidismo.md,EISA_II,high,27,27,0
17,capsule:eisca:anemia_ferropriva,capsules/EISCA/anemia_ferropriva.md,EISCA,high,27,27,0
18,capsule:eisca:convulsao_febril,capsules/EISCA/convulsao_febril.md,EISCA,high,27,27,0
19,capsule:eisa_ii:neuroftalmologia,capsules/EISA_II/neuroftalmologia.md,EISA_II,high,26,26,0
20,capsule:casos_clinicos:abordagem_diarreia_aguda_cronica,capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,CASOS_CLINICOS,high,25,25,0
21,capsule:eisa_ii:hipopituitarismo,capsules/EISA_II/hipopituitarismo.md,EISA_II,high,25,25,0
22,capsule:eisca:hemoglobinopatias_talassemias_doenca_falciforme,capsules/EISCA/hemoglobinopatias_talassemias_doenca_falciforme.md,EISCA,high,25,25,0
23,capsule:eisa_ii:obesidade_e_sindrome_metabolica,capsules/EISA_II/obesidade_e_sindrome_metabolica.md,EISA_II,medium,24,24,0
24,capsule:eisca:ictericia_neonatal_hiperbilirrubinemia_indireta,capsules/EISCA/ictericia_neonatal_hiperbilirrubinemia_indireta.md,EISCA,high,24,24,0
25,capsule:eisca:parasitoses_intestinais,capsules/EISCA/parasitoses_intestinais.md,EISCA,medium,24,24,0
26,capsule:eisa_ii:epilepsia_e_crises_epilepticas,capsules/EISA_II/epilepsia_e_crises_epilepticas.md,EISA_II,high,23,23,0
27,capsule:eisa_ii:neuroinfeccoes,capsules/EISA_II/neuroinfeccoes.md,EISA_II,high,23,23,0
28,capsule:eisa_ii:doencas_paratireoides_hiperparatireoidismo_osteoporose,capsules/EISA_II/doencas_paratireoides_hiperparatireoidismo_osteoporose.md,EISA_II,high,22,22,0
29,capsule:eisca:crescimento_e_desenvolvimento,capsules/EISCA/crescimento_e_desenvolvimento.md,EISCA,medium,22,22,0
30,capsule:eisa_ii:doenca_renal_na_gestacao,capsules/EISA_II/doenca_renal_na_gestacao.md,EISA_II,high,21,21,0
31,capsule:eisa_ii:infeccoes_sexualmente_transmissiveis,capsules/EISA_II/infeccoes_sexualmente_transmissiveis.md,EISA_II,high,21,21,0
32,capsule:eisa_ii:urologia_feminina_infeccao_urinaria_e_incontinencia,capsules/EISA_II/urologia_feminina_infeccao_urinaria_e_incontinencia.md,EISA_II,high,21,21,0
33,capsule:eisca:otite_media_aguda_e_rinossinusite_na_infancia,capsules/EISCA/otite_media_aguda_e_rinossinusite_na_infancia.md,EISCA,high,21,21,0
34,capsule:eisa_ii:farmacoterapia_diabetes_ii_secretagogos,capsules/EISA_II/farmacoterapia_diabetes_ii_secretagogos.md,EISA_II,high,20,20,0
35,capsule:eisa_ii:hiperaldosteronismo_primario_feocromocitoma,capsules/EISA_II/hiperaldosteronismo_primario_feocromocitoma.md,EISA_II,high,20,20,0
36,capsule:eisca:infeccao_do_trato_urinario_na_infancia,capsules/EISCA/infeccao_do_trato_urinario_na_infancia.md,EISCA,high,20,20,0
37,capsule:casos_clinicos:hemorragia_subaracnoide_hipertensao_intracraniana,capsules/CASOS_CLINICOS/hemorragia_subaracnoide_hipertensao_intracraniana.md,CASOS_CLINICOS,high,19,19,0
38,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,capsules/EISA_II/estado_de_mal_epileptico_sequencia_doses.md,EISA_II,high,19,27,6
39,capsule:eisa_ii:manejo_clinico_ambulatorial_do_dm,capsules/EISA_II/manejo_clinico_ambulatorial_do_dm.md,EISA_II,medium,19,19,0
40,capsule:eisa_ii:doenca_renal_cronica_drc,capsules/EISA_II/doenca_renal_cronica_drc.md,EISA_II,high,18,18,0
41,capsule:eisa_ii:hiperfuncao_hipofisaria,capsules/EISA_II/hiperfuncao_hipofisaria.md,EISA_II,medium,18,18,0
42,capsule:eisa_ii:lesao_renal_aguda_lra,capsules/EISA_II/lesao_renal_aguda_lra.md,EISA_II,high,18,18,0
43,capsule:eism:antidepressivos,capsules/EISM/antidepressivos.md,EISM,high,18,18,0
44,capsule:eism:emergencias_psiquiatricas_e_agitacao_psicomotora,capsules/EISM/emergencias_psiquiatricas_e_agitacao_psicomotora.md,EISM,high,18,18,0
45,capsule:osce:osce_endocrinologia,capsules/OSCE/osce_endocrinologia.md,OSCE,high,18,18,0
46,capsule:eisa_ii:avaliacao_por_imagem_em_nefrologia,capsules/EISA_II/avaliacao_por_imagem_em_nefrologia.md,EISA_II,medium,17,17,0
47,capsule:eisca:pneumonia_adquirida_na_comunidade_na_infancia,capsules/EISCA/pneumonia_adquirida_na_comunidade_na_infancia.md,EISCA,high,17,17,0
48,capsule:eisca:rinofaringite_aguda_resfriado_comum_e_gripe,capsules/EISCA/rinofaringite_aguda_resfriado_comum_e_gripe.md,EISCA,high,17,17,0
49,capsule:eisa_ii:tumores_renais_e_carcinoma_de_celulas_renais,capsules/EISA_II/tumores_renais_e_carcinoma_de_celulas_renais.md,EISA_II,medium,16,16,0
