cluster_id,tier,tier_basis,category,occurrence_count,capsule_count,capsule_ids,risk_levels,disciplines,representative_capsule_path,representative_line_no,representative_text,cluster_key_type
b127583e4345292e,A,mixed,cutoff_escore_estadiamento,18,11,capsule:casos_clinicos:abordagem_diarreia_aguda_cronica ; capsule:eisa_ii:avaliacao_por_imagem_em_nefrologia ; capsule:eisa_ii:como_e_quando_encaminhar_para_o_nefrologista ; capsule:eisa_ii:diabetes_mellitus_conceito_classificacao_diagnostico ; capsule:eisa_ii:farmacoterapia_diabetes_i_nao_secretagogos ; capsule:eisa_ii:hipertensao_intracraniana ; capsule:eisa_ii:hipoparatireoidismo_e_hipocalcemia ; capsule:eisa_ii:nefropatia_diabetica ; capsule:eisa_ii:obesidade_e_sindrome_metabolica ; capsule:eism:emergencias_psiquiatricas_e_agitacao_psicomotora ; capsule:osce:osce_neurologia,high ; medium,CASOS_CLINICOS ; EISA_II ; EISM ; OSCE,capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,51,"| Diarreia crônica | >4 semanas (Abordagem às diarreias usa >30 dias) | Casos_Clinicos_P7_1 p.5; Abordagem_a_s_diarreias p.1 | CORRIGIDO — pequena divergência entre fontes (>4 semanas vs >30 dias); ambas equivalem a ~1 mês, sem contradição prática |",num
9aa226f109bbef34,A,uniform,janela_temporal,17,12,capsule:casos_clinicos:doenca_celiaca ; capsule:eisa_ii:cancer_de_prostata ; capsule:eisa_ii:cefaleias_primarias_e_secundarias ; capsule:eisa_ii:infeccoes_sexualmente_transmissiveis ; capsule:eisa_ii:pe_diabetico ; capsule:eisca:diagnostico_diferencial_das_anemias_na_infancia ; capsule:eisca:doencas_exantematicas ; capsule:eisca:hemoglobinopatias_talassemias_doenca_falciforme ; capsule:eisca:parasitoses_intestinais ; capsule:eism:antidepressivos ; capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor ; capsule:osce:osce_neurologia,high ; low ; medium,CASOS_CLINICOS ; EISA_II ; EISCA ; EISM ; OSCE,capsules/CASOS_CLINICOS/doenca_celiaca.md,101,| Tempo de reversão histológica sem glúten | 3 a 12 meses | dado |,num
37744282094e9b9f,A,uniform,janela_temporal,16,7,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia ; capsule:eisa_ii:diabetes_complicacoes_agudas_cronicas ; capsule:eisca:atopias_na_infancia ; capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao ; capsule:eisca:meningites_na_crianca ; capsule:eism:risco_de_suicidio ; capsule:osce:osce_neurologia,high,EISA_II ; EISCA ; EISM ; OSCE,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,68,"paralelo quando possível; ela não deve atrasar trombólise elegível. - Trombectomia pode beneficiar pacientes selecionados até 24 h, conforme vaso,",num
fab6e88e79d3d9cc,A,mixed,cutoff_escore_estadiamento,14,10,capsule:eisa_ii:demencias ; capsule:eisa_ii:doencas_oculares_em_endocrinologia_oftalmopatia_de_graves_e_retinopatia_diabetica ; capsule:eisa_ii:traumatismo_cranioencefalico ; capsule:eisca:anemia_ferropriva ; capsule:eisca:bronquiolite_viral_aguda ; capsule:eisca:cardiopatias_congenitas ; capsule:eisca:convulsao_febril ; capsule:eisca:crescimento_e_desenvolvimento ; capsule:eisca:hemoglobinopatias_talassemias_doenca_falciforme ; capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,high ; medium,EISA_II ; EISCA ; EISM,capsules/EISA_II/demencias.md,83,"- Inicial: anamnese + exame cognitivo (minimental, teste do relógio, fluência verbal) + rastreio laboratorial obrigatório (hemograma, glicemia, eletrólitos, função hepática/renal, TSH, VDRL/HIV, B12) + neuroimagem (TC ou RM). - Definitiva: tratar causa reversível se identificada; se degenerativa — anticolinesterásico (donepezila/rivastigmina/galantamina) ± memantina conforme estágio; medicar sintomas neuropsiquiátricos associados com cautela (evitar anticolinérgicos/tricíclicos, que pioram cognição).",num
e3ab1b01eed0ab1c,A,mixed,cutoff_escore_estadiamento,13,6,capsule:casos_clinicos:abordagem_diarreia_aguda_cronica ; capsule:casos_clinicos:cefaleias_classificacao_sinais_alarme ; capsule:eisa_ii:cefaleias_primarias_e_secundarias ; capsule:eisa_ii:hiperaldosteronismo_primario_feocromocitoma ; capsule:eisa_ii:hiperplasia_prostatica_benigna_clinica_e_tratamento ; capsule:eisca:cardiopatias_congenitas,high,CASOS_CLINICOS ; EISA_II ; EISCA,capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,32,"Aguda <2 sem; persistente 2-4 sem; crônica >4 sem; secretora (cessa? não, com jejum); osmótica (cessa com jejum); esteatorreica (fezes gordurosas, má absorção lipídica); inflamatória (sangue/muco, calprotectina); distúrbio de motilidade (trânsito rápido); anticorpo negativo não exclui doença celíaca; EDA+biópsia duodenal confirma; sinais de alarme = idade>50, sangue, dor noturna, perda de peso, febre, anemia, PCR/calprotectina altas, história familiar.",num
c7b1297eee281545,A,uniform,janela_temporal,11,6,capsule:casos_clinicos:cefaleias_classificacao_sinais_alarme ; capsule:eisa_ii:urologia_feminina_infeccao_urinaria_e_incontinencia ; capsule:eisca:doencas_exantematicas ; capsule:eisca:otite_media_aguda_e_rinossinusite_na_infancia ; capsule:eisca:pneumonia_adquirida_na_comunidade_na_infancia ; capsule:eisca:sepse_e_meningite_neonatal,high,CASOS_CLINICOS ; EISA_II ; EISCA,capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,101,"| Critério mínimo de enxaqueca | ≥5 crises, 4-72h, ≥2 de (unilateral/pulsátil/mod-grave/piora esforço) + náusea ou foto/fonofobia | dado |",num
47ddef41239b1d12,A,mixed,cutoff_escore_estadiamento,11,5,capsule:eisa_ii:doencas_neuromusculares ; capsule:eisa_ii:neoplasia_vesical ; capsule:eisa_ii:obesidade_e_sindrome_metabolica ; capsule:eisca:crescimento_e_desenvolvimento ; capsule:eism:esquizofrenia_e_transtornos_psicoticos,high ; medium,EISA_II ; EISCA ; EISM,capsules/EISA_II/doencas_neuromusculares.md,24,"""Doenças neuromusculares"" cobre >40 patologias que afetam o circuito nervo→fenda sináptica→músculo: neuropatias (nervo — ex.: neuropatia diabética, Guillain-Barré, ELA/ELP), miastenias (fenda — miastenia gravis) e miopatias (músculo — distrofia de Duchenne, neuromiopatia do doente crítico). O nível anatômico acometido é reconhecido pelo padrão de reflexos e pela distribuição/evolução da fraqueza, não pela ""fraqueza"" isoladamente.",num
c45bd39acf7fcc4e,A,mixed,cutoff_escore_estadiamento,10,5,capsule:eisa_ii:doenca_renal_cronica_drc ; capsule:eisa_ii:glomerulopatias_secundarias ; capsule:eisa_ii:urologia_feminina_infeccao_urinaria_e_incontinencia ; capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal ; capsule:eisca:pneumonia_adquirida_na_comunidade_na_infancia,high,EISA_II ; EISCA,capsules/EISA_II/doenca_renal_cronica_drc.md,105,| Critério temporal de DRC | Achado (lesão renal ou TFG<60) persistindo ≥3 meses | dado |,num
988f4075ccad92d6,A,mixed,cutoff_escore_estadiamento,9,3,capsule:eisa_ii:cancer_de_prostata ; capsule:eisa_ii:nefropatia_diabetica ; capsule:eisa_ii:traumatismo_cranioencefalico,high ; medium,EISA_II,capsules/EISA_II/cancer_de_prostata.md,119,"| Perfil de recidiva SISTÊMICA pós-PTR | PSA pré alto (>20), Gleason ≥7, detecção precoce (<2 anos), margem - | dado |",num
016e11dd0b83cb26,A,uniform,janela_temporal,9,7,capsule:eisa_ii:hiperaldosteronismo_primario_feocromocitoma ; capsule:eisa_ii:urologia_feminina_infeccao_urinaria_e_incontinencia ; capsule:eisca:adolescencia_puberdade_e_semiologia_do_adolescente ; capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao ; capsule:eisca:otite_media_aguda_e_rinossinusite_na_infancia ; capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke ; capsule:osce:osce_neurologia,high ; low,EISA_II ; EISCA ; EISM ; OSCE,capsules/EISA_II/hiperaldosteronismo_primario_feocromocitoma.md,101,"- Definitiva (HAP): unilateral confirmado (AVS ou exceção nomeada) → adrenalectomia laparoscópica; bilateral ou não candidato a cirurgia → antagonista de receptor mineralocorticoide (espironolactona 1ª linha). - Definitiva (FEO/PGL): cirurgia é tratamento de escolha, sempre precedida de bloqueio alfa-adrenérgico (doxazosina) por 7–14 dias.",num
