cluster_id,tier,capsule_id,capsule_path,line_no,section,risk,discipline,category,resolved,text
b127583e4345292e,A,capsule:casos_clinicos:abordagem_diarreia_aguda_cronica,capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,51,dados de precisao,high,CASOS_CLINICOS,cutoff_escore_estadiamento,False,"| Diarreia crônica | >4 semanas (Abordagem às diarreias usa >30 dias) | Casos_Clinicos_P7_1 p.5; Abordagem_a_s_diarreias p.1 | CORRIGIDO — pequena divergência entre fontes (>4 semanas vs >30 dias); ambas equivalem a ~1 mês, sem contradição prática |"
b127583e4345292e,A,capsule:casos_clinicos:abordagem_diarreia_aguda_cronica,capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,100,cards minimos,high,CASOS_CLINICOS,cutoff_escore_estadiamento,False,| Diarreia crônica = duração | >4 semanas (~30 dias) | dado |
b127583e4345292e,A,capsule:eisa_ii:avaliacao_por_imagem_em_nefrologia,capsules/EISA_II/avaliacao_por_imagem_em_nefrologia.md,91,conduta,medium,EISA_II,cutoff_escore_estadiamento,False,"- O que mudaria a decisão: TFG <30 muda a escolha entre TC/angio-TC/RNM contrastadas; gestação afasta radiografia/TC/urografia e favorece USG/RNM sem contraste; necessidade de função renal separada por rim aponta para DTPA, não para USG/TC isoladas."
b127583e4345292e,A,capsule:eisa_ii:avaliacao_por_imagem_em_nefrologia,capsules/EISA_II/avaliacao_por_imagem_em_nefrologia.md,90,conduta,medium,EISA_II,cutoff_escore_estadiamento,False,"- Diferencial perigoso: massa renal sólida tratada como indicação de biópsia em vez de investigação cirúrgica — erro que pode disseminar tumor. - O que mudaria a decisão: TFG <30 muda a escolha entre TC/angio-TC/RNM contrastadas; gestação afasta radiografia/TC/urografia e favorece USG/RNM sem contraste; necessidade de função renal separada por rim aponta para DTPA, não para USG/TC isoladas."
b127583e4345292e,A,capsule:eisa_ii:como_e_quando_encaminhar_para_o_nefrologista,capsules/EISA_II/como_e_quando_encaminhar_para_o_nefrologista.md,32,palavras-ancora,medium,EISA_II,cutoff_escore_estadiamento,False,Prevenção quaternária; atenção básica; TFG <30; macroalbuminúria; perda rápida de função renal; cilindros patológicos; hematúria persistente; HAS refratária a 3 drogas; ITU recorrente; classificação de Bosniak; litíase — corte de 10mm/4mm; teleconsultoria.
b127583e4345292e,A,capsule:eisa_ii:como_e_quando_encaminhar_para_o_nefrologista,capsules/EISA_II/como_e_quando_encaminhar_para_o_nefrologista.md,53,dados de precisao,medium,EISA_II,cutoff_escore_estadiamento,False,"| Doença Renal Crônica — critérios de encaminhamento | TFG <30 (estágio 4–5) OU proteinúria OU hematúria persistente OU alteração anatômica com lesão/perda de função OU cilindros com potencial patológico (céreos, largos, graxos, epiteliais, hemáticos, leucocitários) | Como e quando encaminhar, p.6 | CONFIRMADO |"
b127583e4345292e,A,capsule:eisa_ii:diabetes_mellitus_conceito_classificacao_diagnostico,capsules/EISA_II/diabetes_mellitus_conceito_classificacao_diagnostico.md,109,cards minimos,high,EISA_II,cutoff_escore_estadiamento,False,"| LADA — critério mínimo | Adulto >30a, IMC normal, sem insulina por ≥6 meses, anti-GAD + | conceito |"
b127583e4345292e,A,capsule:eisa_ii:farmacoterapia_diabetes_i_nao_secretagogos,capsules/EISA_II/farmacoterapia_diabetes_i_nao_secretagogos.md,87,conduta,high,EISA_II,cutoff_escore_estadiamento,False,"- Diferencial perigoso: acidose láctica por metformina em TFG<30 ou situações de hipóxia/hipoperfusão; cetoacidose diabética euglicêmica por iSGLT2 (glicemia pode estar só discretamente elevada, não confiar só na glicemia para descartar)."
b127583e4345292e,A,capsule:eisa_ii:farmacoterapia_diabetes_i_nao_secretagogos,capsules/EISA_II/farmacoterapia_diabetes_i_nao_secretagogos.md,102,cards minimos,high,EISA_II,cutoff_escore_estadiamento,False,"| Metformina — TFG <30, conduta? | Suspender (risco de acidose láctica) | limiar |"
b127583e4345292e,A,capsule:eisa_ii:hipertensao_intracraniana,capsules/EISA_II/hipertensao_intracraniana.md,78,conduta,high,EISA_II,cutoff_escore_estadiamento,False,"- Definitiva: tratar a causa (drenar hematoma, ressecar tumor/abscesso, tratar hidrocefalia); se refratário: drenagem de LCR (DVE), manitol ou solução salina hipertônica, hiperventilação controlada (PCO2<30, temporária), barbitúricos (coma barbitúrico), hipotermia, craniectomia descompressiva bifrontal como último recurso."
b127583e4345292e,A,capsule:eisa_ii:hipoparatireoidismo_e_hipocalcemia,capsules/EISA_II/hipoparatireoidismo_e_hipocalcemia.md,56,dados de precisao,high,EISA_II,cutoff_escore_estadiamento,False,"| Hipopara pós-cirúrgico — transitório x permanente | duração <1 ano = transitório; após 1 ano = permanente | Slide p.30, conferido visualmente | CONFIRMADO |"
b127583e4345292e,A,capsule:eisa_ii:hipoparatireoidismo_e_hipocalcemia,capsules/EISA_II/hipoparatireoidismo_e_hipocalcemia.md,57,dados de precisao,high,EISA_II,cutoff_escore_estadiamento,False,"| Hipopara pós-cirúrgico — valor prognóstico do PTH | PTH<10 = maior risco de hipopara permanente; PTH>10 = menor risco | Slide p.30, conferido visualmente | CONFIRMADO |"
b127583e4345292e,A,capsule:eisa_ii:nefropatia_diabetica,capsules/EISA_II/nefropatia_diabetica.md,113,cards minimos,high,EISA_II,cutoff_escore_estadiamento,False,| Metformina — limite de TFG | Não usar se TFG <30 | limiar |
b127583e4345292e,A,capsule:eisa_ii:obesidade_e_sindrome_metabolica,capsules/EISA_II/obesidade_e_sindrome_metabolica.md,107,cards minimos,medium,EISA_II,cutoff_escore_estadiamento,False,| IMC para farmacoterapia sem comorbidade | ≥30 | dado |
b127583e4345292e,A,capsule:eism:emergencias_psiquiatricas_e_agitacao_psicomotora,capsules/EISM/emergencias_psiquiatricas_e_agitacao_psicomotora.md,53,dados de precisao,high,EISM,cutoff_escore_estadiamento,False,| Via IM | necessidade de resposta em <30 min | texto Emergências psiquiátricas | CONFIRMADO |
b127583e4345292e,A,capsule:eism:emergencias_psiquiatricas_e_agitacao_psicomotora,capsules/EISM/emergencias_psiquiatricas_e_agitacao_psicomotora.md,77,conduta,high,EISM,cutoff_escore_estadiamento,False,"- O que mudaria a decisão: recusa de via oral, urgência do tempo de resposta (<30min → IM), necessidade de ação imediata (EV), causa orgânica identificável."
b127583e4345292e,A,capsule:eism:emergencias_psiquiatricas_e_agitacao_psicomotora,capsules/EISM/emergencias_psiquiatricas_e_agitacao_psicomotora.md,76,conduta,high,EISM,cutoff_escore_estadiamento,False,"- Diferencial perigoso: causa orgânica mimetizando agitação psiquiátrica (delirium, hipoglicemia, TCE, intoxicação) — sedar sem investigar pode mascarar emergência clínica. - O que mudaria a decisão: recusa de via oral, urgência do tempo de resposta (<30min → IM), necessidade de ação imediata (EV), causa orgânica identificável."
b127583e4345292e,A,capsule:osce:osce_neurologia,capsules/OSCE/osce_neurologia.md,36,palavras-ancora,high,OSCE,cutoff_escore_estadiamento,False,Escala de Cincinnati (sorrir/abraçar/falar) · NIHSS · janela de 4h30 · alteplase (rt-PA) · trombectomia mecânica · hipertensão permissiva · TC de crânio sem contraste · hipodenso (isquêmico) × hiperdenso (hemorrágico) · AIT · tríade cefaleia + síncope + rigidez nucal · escala de Hunt-Hess · nimodipino · Escala de Coma de Glasgow · sinal de Guaxinim/Battle · pupila anisocórica × isocórica × puntiforme.
37744282094e9b9f,A,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,69,trombectomia mecanica,high,EISA_II,janela_temporal,True,"- Trombectomia pode beneficiar pacientes selecionados até 24 h, conforme vaso,"
37744282094e9b9f,A,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,70,trombectomia mecanica,high,EISA_II,janela_temporal,True,"déficit, imagem e critérios do serviço. “Até 24 h” não significa elegibilidade"
37744282094e9b9f,A,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,74,trombectomia mecanica,high,EISA_II,janela_temporal,True,- Oclusão de basilar em até 24 h com NIHSS ≥10 tem recomendação forte quando os
37744282094e9b9f,A,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,147,cards minimos,high,EISA_II,janela_temporal,True,| EVT até 24 h | somente pacientes selecionados; não é regra automática | janela |
37744282094e9b9f,A,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,68,trombectomia mecanica,high,EISA_II,janela_temporal,True,"paralelo quando possível; ela não deve atrasar trombólise elegível. - Trombectomia pode beneficiar pacientes selecionados até 24 h, conforme vaso,"
37744282094e9b9f,A,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,73,trombectomia mecanica,high,EISA_II,janela_temporal,True,não transforma ASPECTS baixo em indicação universal. - Oclusão de basilar em até 24 h com NIHSS ≥10 tem recomendação forte quando os
37744282094e9b9f,A,capsule:eisa_ii:diabetes_complicacoes_agudas_cronicas,capsules/EISA_II/diabetes_complicacoes_agudas_cronicas.md,24,conceito operacional minimo,high,EISA_II,janela_temporal,False,"CAD (típica de DM1, jovem) e EHH (típica de DM2, idoso) são dois polos do mesmo espectro de descompensação hiperglicêmica: CAD = deficiência **absoluta** de insulina → cetogênese e acidose, instalação em **horas** (até 24h); EHH = deficiência **relativa** de insulina (insulina suficiente para frear a lipólise, insuficiente para captar glicose) → sem cetose relevante, hiperosmolaridade extrema, instalação em **dias a semanas**, maior alteração do sensório e maior mortalidade. Hipoglicemia é iatrogênica (insulina/sulfonilureia) na maioria dos casos e tratada por via oral se consciente, IV se rebaixamento do sensório."
37744282094e9b9f,A,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,capsules/EISCA/diarreia_aguda_desidratacao_planos_reidratacao.md,48,dados de precisao,high,EISCA,janela_temporal,False,"| Definição de diarreia | ≥3 evacuações amolecidas ou líquidas em 24h | Diarreias na Infância (slide Liane Viana), p.3 | CONFIRMADO |"
37744282094e9b9f,A,capsule:eisca:meningites_na_crianca,capsules/EISCA/meningites_na_crianca.md,113,cards minimos,high,EISCA,janela_temporal,False,"| Quimioprofilaxia meningocócica | contato íntimo 7 dias, iniciar em 24h, rifampicina/ceftriaxona/azitro/cipro | conduta |"
