capsule_id,capsule_path,discipline,risk,detections_total,sweep_denominator,sweep_denominator_lines,claims_registered,unresolved,coverage_pct
capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,14,3,3,0,3,0.0
capsule:casos_clinicos:abordagem_diarreia_aguda_cronica,capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,CASOS_CLINICOS,high,56,29,18,0,29,0.0
capsule:casos_clinicos:cefaleias_classificacao_sinais_alarme,capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,CASOS_CLINICOS,high,52,24,19,0,24,0.0
capsule:casos_clinicos:cirrose_hepatica_ascite_pbe,capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,CASOS_CLINICOS,high,62,34,24,0,34,0.0
capsule:casos_clinicos:colite_pseudomembranosa,capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,CASOS_CLINICOS,high,66,16,11,0,16,0.0
capsule:casos_clinicos:doenca_celiaca,capsules/CASOS_CLINICOS/doenca_celiaca.md,CASOS_CLINICOS,low,19,5,5,0,5,0.0
capsule:casos_clinicos:doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa,capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,CASOS_CLINICOS,medium,13,3,3,0,3,0.0
capsule:casos_clinicos:formato_avaliacao_discussao_casos_clinicos,capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,CASOS_CLINICOS,low,19,4,4,0,4,0.0
capsule:casos_clinicos:fraqueza_muscular_miastenia_polimiosite,capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,CASOS_CLINICOS,medium,19,8,8,0,8,0.0
capsule:casos_clinicos:ganho_de_peso_obesidade_e_sindrome_metabolica,capsules/CASOS_CLINICOS/ganho_de_peso_obesidade_e_sindrome_metabolica.md,CASOS_CLINICOS,medium,70,21,17,0,21,0.0
capsule:casos_clinicos:hemorragia_subaracnoide_hipertensao_intracraniana,capsules/CASOS_CLINICOS/hemorragia_subaracnoide_hipertensao_intracraniana.md,CASOS_CLINICOS,high,54,23,16,0,23,0.0
capsule:casos_clinicos:icetericia_e_interpretacao_das_provas_de_funcao_hepatica,capsules/CASOS_CLINICOS/icetericia_e_interpretacao_das_provas_de_funcao_hepatica.md,CASOS_CLINICOS,medium,29,10,8,0,10,0.0
capsule:casos_clinicos:sindrome_do_intestino_irritavel,capsules/CASOS_CLINICOS/sindrome_do_intestino_irritavel.md,CASOS_CLINICOS,low,21,4,4,0,4,0.0
capsule:casos_clinicos:tireoidopatias_hipotireoidismo_nodulo_e_paaf,capsules/CASOS_CLINICOS/tireoidopatias_hipotireoidismo_nodulo_e_paaf.md,CASOS_CLINICOS,medium,45,10,10,0,10,0.0
capsule:casos_clinicos:tontura_vertigem_vppb_dix_hallpike,capsules/CASOS_CLINICOS/tontura_vertigem_vppb_dix_hallpike.md,CASOS_CLINICOS,medium,29,6,5,0,6,0.0
capsule:eisa_ii:anatomia_osso_temporal_e_audicao,capsules/EISA_II/anatomia_osso_temporal_e_audicao.md,EISA_II,low,6,2,2,0,2,0.0
capsule:eisa_ii:anticonvulsivantes_gestacao,capsules/EISA_II/anticonvulsivantes_gestacao.md,EISA_II,high,46,9,7,0,9,0.0
capsule:eisa_ii:avaliacao_laboratorial_em_nefrologia,capsules/EISA_II/avaliacao_laboratorial_em_nefrologia.md,EISA_II,medium,61,29,20,0,29,0.0
capsule:eisa_ii:avaliacao_por_imagem_em_nefrologia,capsules/EISA_II/avaliacao_por_imagem_em_nefrologia.md,EISA_II,medium,54,19,16,0,19,0.0
capsule:eisa_ii:avc_hemorragico,capsules/EISA_II/avc_hemorragico.md,EISA_II,high,64,30,24,0,30,0.0
capsule:eisa_ii:avc_isquemico_investigacao_etiologica_e_prevencao_secundaria,capsules/EISA_II/avc_isquemico_investigacao_etiologica_e_prevencao_secundaria.md,EISA_II,high,36,17,15,0,17,0.0
capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,EISA_II,high,76,29,25,5,13,55.17
capsule:eisa_ii:bexiga_neurogenica,capsules/EISA_II/bexiga_neurogenica.md,EISA_II,high,41,10,10,0,10,0.0
capsule:eisa_ii:cancer_de_prostata,capsules/EISA_II/cancer_de_prostata.md,EISA_II,medium,78,43,32,0,43,0.0
capsule:eisa_ii:cancer_de_testiculo,capsules/EISA_II/cancer_de_testiculo.md,EISA_II,high,57,20,17,0,20,0.0
capsule:eisa_ii:cefaleias_primarias_e_secundarias,capsules/EISA_II/cefaleias_primarias_e_secundarias.md,EISA_II,high,53,18,16,0,18,0.0
capsule:eisa_ii:coma_e_rebaixamento_do_nivel_de_consciencia,capsules/EISA_II/coma_e_rebaixamento_do_nivel_de_consciencia.md,EISA_II,high,37,10,6,1,10,0.0
capsule:eisa_ii:como_e_quando_encaminhar_para_o_nefrologista,capsules/EISA_II/como_e_quando_encaminhar_para_o_nefrologista.md,EISA_II,medium,65,21,16,0,21,0.0
capsule:eisa_ii:demencias,capsules/EISA_II/demencias.md,EISA_II,medium,37,12,8,0,12,0.0
capsule:eisa_ii:diabetes_complicacoes_agudas_cronicas,capsules/EISA_II/diabetes_complicacoes_agudas_cronicas.md,EISA_II,high,90,46,29,0,46,0.0
capsule:eisa_ii:diabetes_mellitus_conceito_classificacao_diagnostico,capsules/EISA_II/diabetes_mellitus_conceito_classificacao_diagnostico.md,EISA_II,high,73,28,23,0,28,0.0
capsule:eisa_ii:diabetes_mellitus_gestacional,capsules/EISA_II/diabetes_mellitus_gestacional.md,EISA_II,high,81,25,18,0,25,0.0
capsule:eisa_ii:diabetes_metas_tratamento_terapia_nao_insulinica,capsules/EISA_II/diabetes_metas_tratamento_terapia_nao_insulinica.md,EISA_II,high,109,43,30,0,43,0.0
capsule:eisa_ii:diagnostico_sindromico_em_nefrologia,capsules/EISA_II/diagnostico_sindromico_em_nefrologia.md,EISA_II,medium,50,25,14,0,25,0.0
capsule:eisa_ii:disturbios_do_movimento,capsules/EISA_II/disturbios_do_movimento.md,EISA_II,medium,30,3,3,0,3,0.0
capsule:eisa_ii:doenca_renal_cronica_drc,capsules/EISA_II/doenca_renal_cronica_drc.md,EISA_II,high,74,30,22,0,30,0.0
capsule:eisa_ii:doenca_renal_na_gestacao,capsules/EISA_II/doenca_renal_na_gestacao.md,EISA_II,high,119,29,20,0,29,0.0
capsule:eisa_ii:doencas_cisticas_renais,capsules/EISA_II/doencas_cisticas_renais.md,EISA_II,medium,17,9,7,0,9,0.0
capsule:eisa_ii:doencas_da_orelha_externa,capsules/EISA_II/doencas_da_orelha_externa.md,EISA_II,medium,28,3,3,0,3,0.0
capsule:eisa_ii:doencas_neuromusculares,capsules/EISA_II/doencas_neuromusculares.md,EISA_II,high,38,13,13,0,13,0.0
capsule:eisa_ii:doencas_oculares_em_endocrinologia_oftalmopatia_de_graves_e_retinopatia_diabetica,capsules/EISA_II/doencas_oculares_em_endocrinologia_oftalmopatia_de_graves_e_retinopatia_diabetica.md,EISA_II,high,42,8,8,0,8,0.0
capsule:eisa_ii:doencas_paratireoides_hiperparatireoidismo_osteoporose,capsules/EISA_II/doencas_paratireoides_hiperparatireoidismo_osteoporose.md,EISA_II,high,81,46,32,0,46,0.0
capsule:eisa_ii:epilepsia_e_crises_epilepticas,capsules/EISA_II/epilepsia_e_crises_epilepticas.md,EISA_II,high,77,28,24,0,28,0.0
capsule:eisa_ii:erisipela,capsules/EISA_II/erisipela.md,EISA_II,high,48,19,14,0,19,0.0
capsule:eisa_ii:esclerose_multipla_e_doencas_desmielinizantes,capsules/EISA_II/esclerose_multipla_e_doencas_desmielinizantes.md,EISA_II,medium,62,15,13,0,15,0.0
capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,capsules/EISA_II/estado_de_mal_epileptico_sequencia_doses.md,EISA_II,high,80,30,22,6,21,30.0
capsule:eisa_ii:farmacologia_dislipidemias,capsules/EISA_II/farmacologia_dislipidemias.md,EISA_II,high,75,31,19,0,31,0.0
capsule:eisa_ii:farmacoterapia_convulsoes_mecanismo_escolha,capsules/EISA_II/farmacoterapia_convulsoes_mecanismo_escolha.md,EISA_II,high,49,15,11,0,15,0.0
capsule:eisa_ii:farmacoterapia_diabetes_i_nao_secretagogos,capsules/EISA_II/farmacoterapia_diabetes_i_nao_secretagogos.md,EISA_II,high,77,38,25,0,38,0.0
capsule:eisa_ii:farmacoterapia_diabetes_ii_secretagogos,capsules/EISA_II/farmacoterapia_diabetes_ii_secretagogos.md,EISA_II,high,63,22,19,0,22,0.0
capsule:eisa_ii:glaucoma_e_catarata,capsules/EISA_II/glaucoma_e_catarata.md,EISA_II,high,43,12,11,0,12,0.0
capsule:eisa_ii:glomerulopatias_primarias,capsules/EISA_II/glomerulopatias_primarias.md,EISA_II,high,40,17,12,0,17,0.0
capsule:eisa_ii:glomerulopatias_secundarias,capsules/EISA_II/glomerulopatias_secundarias.md,EISA_II,high,51,12,8,0,12,0.0
capsule:eisa_ii:has_nefrogena_renovascular,capsules/EISA_II/has_nefrogena_renovascular.md,EISA_II,high,60,22,16,0,22,0.0
