sample_id,sample_kind,claim_id,capsule_id,capsule_path,discipline,risk,clinical_validity,criticality,claim_type,source_layers,source_types,source_availability,capsule_source_resolution,statement_or_title
rt:c621a4601c3fc983,conflict_claim,claim:sepse-neonatal.febre-materna-limiar,capsule:eisca:sepse_e_meningite_neonatal,capsules/EISCA/sepse_e_meningite_neonatal.md,EISCA,high,conflict,medium,threshold,A_PRIME,article guideline,metadata_only,metadata_only,"Febre materna intraparto como fator de risco: capsula usa corte >38 graus C; SPRS 2012 usa >37,5 graus C."
rt:bbc73a02b90b1447,current_claim,claim:ais.definition,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,capsules/EISA_II/avc_isquemico_urgencia_trombolise_e_trombectomia.md,EISA_II,high,current,high,other,A_PRIME,guideline,metadata_only,resolved,AVC/AIT usam definição tecidual; duração <24 h não basta.
rt:bc2c6b57af5fce14,current_claim,claim:thi.glucose-order-coma,capsule:eisa_ii:coma_e_rebaixamento_do_nivel_de_consciencia,capsules/EISA_II/coma_e_rebaixamento_do_nivel_de_consciencia.md,EISA_II,high,current,high,treatment_sequence,A_PRIME,guideline,metadata_only,resolved,"No coma hipoglicêmico, não atrasar glicose; administrar tiamina prontamente em pessoa de risco."
rt:c6eead4b56c13b7f,current_claim,claim:se.refractory,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,capsules/EISA_II/estado_de_mal_epileptico_sequencia_doses.md,EISA_II,high,current,high,emergency,A_PRIME,guideline,metadata_only,resolved,"Refratário requer UTI, via aérea conforme necessidade e EEG contínuo; sem anestésico universal."
rt:c7816247222ef487,current_claim,claim:se.fosphenytoin-esett,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,capsules/EISA_II/estado_de_mal_epileptico_sequencia_doses.md,EISA_II,high,current,high,dose,A_PRIME,article,metadata_only,resolved,O ensaio ESETT testou fosfenitoína 20 mg PE/kg como regime do estudo.
rt:00142493256c3abf,current_claim,claim:vac.meningococcal,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,capsules/EISCA/imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva.md,EISCA,high,current,high,treatment_sequence,A_PRIME,guideline,metadata_only,resolved,menC aos 3/5 meses e reforço menACWY aos 12 meses.
rt:154c16997ad0c0de,current_claim,claim:bf.hiv-htlv,capsule:eisca:aleitamento_materno,capsules/EISCA/aleitamento_materno.md,EISCA,high,current,high,contraindication,A_PRIME,guideline,metadata_only,resolved,HIV e HTLV contraindicam aleitamento no Brasil conforme política nacional.
rt:5bdf4959b4149a0f,current_claim,claim:diarreia-planos.plano-b-volume-e-falha-6h,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,capsules/EISCA/diarreia_aguda_desidratacao_planos_reidratacao.md,EISCA,high,current,high,treatment_sequence,A_PRIME,guideline,metadata_only,resolved,"Plano B: SRO 50 a 100 mL/kg em 4 a 6 horas; se sem melhora da desidratacao apos 6 horas, encaminhar ao hospital de referencia para internacao (Plano C)."
rt:9cb35857bc68d3b7,current_claim,claim:asth.initial-concurrent,capsule:eisca:asma_em_pediatria,capsules/EISCA/asma_em_pediatria.md,EISCA,high,current,high,treatment_sequence,A_PRIME,guideline,metadata_only,resolved,"SABA, O2 quando indicado e corticoide precoce são concorrentes; ipratrópio em grave."
rt:26db1cf2c9329a04,current_claim,claim:thi.glucose-order,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,capsules/EISM/abstinencia_alcoolica_delirium_tremens_wernicke.md,EISM,high,current,high,treatment_sequence,A_PRIME,guideline,metadata_only,resolved,Não atrasar glicose na hipoglicemia; tiamina antes/concomitante quando possível.
