claim_id,category,occurrence_count,clinical_validity,practice_current_eligibility,normalized_statement,numeric_values,routes,population_markers,context_markers,jurisdiction_markers
candidate-claim:b4309b1e748a0cfc9bbc,calendario_regra_jurisdicional,1,pending,blocked,- confira cartao e sistema idade em dia/mes/ano e condicao especial - consulte o calendario pni datado e a secao de atualizacao sem reiniciar serie,,,,,pni
candidate-claim:bd694f47ba706c7fdf10,calendario_regra_jurisdicional,1,pending,blocked,- consulte o calendario pni datado e a secao de atualizacao sem reiniciar serie,,,,,pni
candidate-claim:1739c294a7da3a1e6e5f,calendario_regra_jurisdicional,1,pending,blocked,- definitiva a maioria (rubeola eritema infeccioso exantema subito) e sintomatica/autolimitada sarampo e suporte + notificacao compulsoria + bloqueio vacinal de contactantes em ate 72h kawasaki e internacao + imunoglobulina iv na fase aguda + avaliacao cardiologica (ecocardiograma),72h,iv,,aguda,
candidate-claim:439f28abc7b37006b299,calendario_regra_jurisdicional,1,pending,blocked,- definitiva tratamento multiprofissional e continuado (caps-ad psicoterapia grupos de apoio) farmacoterapia especifica por substancia (ex bupropiona/vareniclina para tabaco naltrexona/dissulfiram/topiramato para alcool — manejo agudo de intoxicacao/abstinencia alcoolica na capsula propria),,,,agudo,
candidate-claim:f18a5c2d2108c047446b,calendario_regra_jurisdicional,1,pending,blocked,- inicial classificar o exantema (morfologia + relacao temporal com a febre) antes de nomear a doenca em toda crianca com febre >5 dias e exantema disparar checklist de kawasaki - definitiva a maioria (rubeola eritema infeccioso exantema subito) e sintomatica/autolimitada sarampo e suporte + notificacao compulsoria + bloqueio vacinal de contactantes em ate 72h kawasaki e internacao + imunoglobulina iv na fase aguda + avaliacao cardiologica (ecocardiograma),5 dias ; 72h,iv,,aguda,
candidate-claim:813f9a2170746da50d6c,calendario_regra_jurisdicional,1,pending,blocked,- inicial identificar padrao de uso (cage como rastreio rapido) coletar historia de consumo (substancia quantidade tempo) excluir intoxicacao/abstinencia aguda como causa dos sintomas apresentados avaliar comorbidades psiquiatricas associadas (ansiedade humor tept esquizofrenia risco de suicidio) - definitiva tratamento multiprofissional e continuado (caps-ad psicoterapia grupos de apoio) farmacoterapia especifica por substancia (ex bupropiona/vareniclina para tabaco naltrexona/dissulfiram/topiramato para alcool — manejo agudo de intoxicacao/abstinencia alcoolica na capsula propria),,,,aguda ; agudo,
candidate-claim:0d68c596acd3f10e848e,calendario_regra_jurisdicional,1,pending,blocked,- medicamentos nao devem ser classificados por listas antigas genericas consulte bula/anvisa lactmed ou protocolo especializado por farmaco dose idade e,,,,,anvisa
candidate-claim:ef8128af7c8b81e29375,calendario_regra_jurisdicional,1,pending,blocked,4 ds (depressao–desesperanca–desamparo–desespero) fator de risco modificavel x nao modificavel notificacao compulsoria em 24h internacao involuntaria ideacao/plano/metodo/acesso ao meio,24h ; 4,,,,
candidate-claim:b8920afbf9c08e563728,calendario_regra_jurisdicional,1,pending,blocked,bula/anvisa lactmed ou protocolo especializado por farmaco dose idade e,,,,,anvisa
candidate-claim:e13473e049b0edcc25ec,calendario_regra_jurisdicional,1,pending,blocked,claim pni 2026 localizador status,2026,,,,pni
candidate-claim:ec3ecf1113198ff0eb19,calendario_regra_jurisdicional,1,pending,blocked,clozapina no brasil periodicidade e interrupcao devem seguir bula anvisa vigente/protocolo local nao importar rems dos eua jurisdicao ainda sem bula oficial 2026 resolvida current pending,2026,,,,anvisa ; brasil
candidate-claim:69ae757a531ffc9ad748,calendario_regra_jurisdicional,1,pending,blocked,"dose dos inibidores de 5-α-redutase finasterida 5mg/dia (sus isoforma tipo ii) dutasterida 0,5mg/dia (ambas isoformas) hiperplasia i unidade p 6 confirmado","0,5mg ; 5 ; 5mg ; 6",,,,sus
