relative_path,authority_class,bytes,sha256
INDICE.md,index,3460,61b5cd44419a16854f64da15dbda9d52c06c1e5a29405319f3e6841db8ea0e6b
01 - ENDOCRINOLOGIA (Diabetes)/Aula 01 - Endocrino - DM - conceitos, classificacao, diagnostico.pdf,faculty_slide,7047012,ad857e0375106ad821d413369f474ad5968fdefca53bebd8918803566bb424a5
01 - ENDOCRINOLOGIA (Diabetes)/Aula 02 - Endocrino - DM - metas e antidiabeticos.pdf,faculty_slide,17995115,5d8ade54597ac390de65699d6908a70e408974e9139c27b5018c34ca77041ff6
01 - ENDOCRINOLOGIA (Diabetes)/Aula 03 - Endocrino - Complicacoes cronicas.pdf,faculty_slide,12948126,f9157f95700335c833c8f5601e71fa20b6a0101b45de014ccb39688aa20fc3a3
01 - ENDOCRINOLOGIA (Diabetes)/Aula 04 - Endocrino - Complicacoes agudas.pdf,faculty_slide,8230494,897dd6ce615f173fafb3f77e280b7a696c05c7dee4be4a29f18cbaa2caaec7df
01 - ENDOCRINOLOGIA (Diabetes)/Aula 05 - Endocrino - Insulinoterapia.pdf,faculty_slide,174583357,03087a03c5d59386e9ba77ddefa2c7156faefacdc6c39c7a87027bf8ac75fe8a
02 - FARMACOLOGIA (Diabetes)/P7 - FAMENE - FARMACOTERAPIA DO DIABETES - 2026.2 - 1a aula.pdf,faculty_slide,6170908,b5d5e424fb4431d74397e08abc05c1dafbeda793fd8333383dbfda02a46b9068
02 - FARMACOLOGIA (Diabetes)/P7 - FAMENE - FARMACOTERAPIA DO DIABETES - 2026.2 - 2a aula.pdf,faculty_slide,4489282,175b2a79ccf5a1a190c0478b1ad493aae7aaf0f0813e6cb49d5ae1b8f38fc8e4
03 - EISM (Saude Mental)/Depressao e Antidepressivos - Dr Jose Kenio.pdf,faculty_slide,29697697,3063903355595382cacadb7d7af25bd2f6303e2cb1cd3511a99e7e7cd7f346cb
03 - EISM (Saude Mental)/Esquizofrenia - Prof Roberto Mendes.pdf,faculty_slide,14003910,7c3eee6e443c13c7e7a24f338882d1de26342f4437775eb61b15a035f2f68a7e
04 - NEUROLOGIA/AVC Hemorragico.pptx,faculty_slide,1216540,e6ab86a0c1df933fede42b558e54809b946f795d04b17ca26cd5f8c9ac2b4799
04 - NEUROLOGIA/Cefaleias - 2023.pdf,faculty_slide,2858879,2112b485787b018d1697be890c5421a3fa87b3372a958e7020974b8469486049
05 - UROLOGIA/Hiperplasia Prostatica Benigna - Prof Luiz Luna Barbosa.pptx,faculty_slide,39324504,fe6c4ae63f38ef65ffd83ec2b5e67bce8592b79971815e1c111ead533032e6d5
05 - UROLOGIA/Litiase Urinaria.pdf,faculty_slide,402621,fed3ee68b042f95c25ca0b865aa76cc15db8378fd0f431062e1fb6cd85d20942
06 - NEFROLOGIA/Infeccao do Trato Urinario - Prof Massabiel Rocha.pdf,faculty_slide,5150580,38745e2f9c8c58b90946d1c12c07561e59c094ccb95e402d2d9fc193bd79afc5
07 - VASCULAR (Pe diabetico)/08 - Pe Diabetico - capitulo Ibiapina et al.pdf,book_chapter,1113464,361a841bdf46b50c236005b355d003e5b3aedb1a890c4e9c6dc5dc36d48616aa
_material-complementar/Alcool e Outras Drogas (resumo).pdf,student_complement,726957,8cd42bb9164e79ecb5f106397dd0aa1122333ff767df6f300eb0da8480460305
_material-complementar/Antidepressivos - farmacologia (resumo).pdf,student_complement,1292510,23197a7f31b91696db09544276435db176317a475474f4b5f287df9015d52b8c
_material-complementar/APOSTILA SA II (P7) - Walerya Siqueira e Marilia Chalegre.pdf,student_complement,14931828,c2c90985acde95113a1ccc9b46596a7b8635ff1290d102c4e69ddf1d12ce2561
_material-complementar/Esquizofrenia (resumo).pdf,student_complement,385800,e37dfab1391b264a5d71d2434cdc8a0ea8a97f64a72330111e447b3859de26d6
_material-complementar/Saude Mental completo (resumo).pdf,student_complement,1485327,4fbf2153267c9483161401de2cc5b7cec130dfc3c1c924c7df652690ca52e6d8
_material-complementar/Transtorno Bipolar (resumo).pdf,student_complement,414894,cd4e0fa9fca37834bd28a5790025799ef8e83ebdf2753821c8141e7d57d28613
_material-complementar/Transtorno de Ansiedade (resumo).pdf,student_complement,387115,3e071c61182976f0d24ea98db3dbb79f6bed9efacbf088adcba6a9746a9a6cfd
_material-complementar/Transtornos de Personalidade (resumo).pdf,student_complement,305934,b810adfc685ad263595c5896dc037e32e9a4bef3051ad65d13e00966c59da15a
